neighborhood,degrees_west,degrees_north
Blmngtn,93.5880772,42.0559335
Blueste,93.6196433,42.0262182
BrDale,93.6305266,42.0538966
BrkSide,93.6276074,42.0322741
ClearCr,93.6496345,42.035702
CollgCr,93.6629245,42.0210558
Crawfor,93.6196433,42.0262182
Edwards,93.6700775,42.0256764
Gilbert,93.6482427,42.1073852
IDOTRR,93.6196433,42.0262182
MeadowV,93.6541354,42.0043774
Mitchel,93.6048323,41.9923905
Names,93.6204212,42.0466962
NoRidge,93.6550459,42.051161
NPkVill,93.6196433,42.0262182
NridgHt,93.6521432,42.0593971
NWAmes,93.6668704,42.0561644
OldTown,93.6158599,42.0315288
SWISU,93.6554093,42.0126438
Sawyer,93.6196433,42.0262182
SawyerW,93.6196433,42.0262182
Somerst,93.6435389,42.0489287
StoneBr,93.6352844,42.0606141
Timber,93.6511065,42.0014912
Veenker,93.6515453,42.0383826
