,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Tot_qual_cond,degrees_west,degrees_north
0,1,60,RL,65.0,8450,Pave,None,0,Lvl,AllPub,Inside,1,CollgCr,0,0,1Fam,4,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,1,0,PConc,1,0,0,5,706,0,0,150,856,GasA,2,1,1,856,854,0,1710,1,0,2,1,3,1,1,8,0,0,-2,Attchd,2003.0,2,2,548,0,0,Y,0,61,0,0,0,0,-1,None,None,0,2,2008,WD,Normal,208500,1,93.6629245,42.0210558
1,2,20,RL,80.0,9600,Pave,None,0,Lvl,AllPub,FR2,1,Veenker,-2,0,1Fam,1,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,CBlock,1,0,1,4,978,0,0,284,1262,GasA,2,1,1,1262,0,0,1262,0,1,2,0,3,1,0,6,0,1,0,Attchd,1976.0,2,2,460,0,0,Y,298,0,0,0,0,0,-1,None,None,0,5,2007,WD,Normal,181500,1,93.6515453,42.0383826
2,3,60,RL,68.0,11250,Pave,None,1,Lvl,AllPub,Inside,1,CollgCr,0,0,1Fam,4,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,1,0,PConc,1,0,1,5,486,0,0,434,920,GasA,2,1,1,920,866,0,1786,1,0,2,1,3,1,1,6,0,1,0,Attchd,2001.0,2,2,608,0,0,Y,0,42,0,0,0,0,-1,None,None,0,9,2008,WD,Normal,223500,3,93.6629245,42.0210558
3,4,70,RL,60.0,9550,Pave,None,1,Lvl,AllPub,Corner,1,Crawfor,0,0,1Fam,4,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,0,0,BrkTil,0,1,0,4,216,0,0,540,756,GasA,1,1,1,961,756,0,1717,1,0,1,0,3,1,1,7,0,1,1,Detchd,1998.0,1,3,642,0,0,Y,0,35,272,0,0,0,-1,None,None,0,2,2006,WD,Abnorml,140000,3,93.6196433,42.0262182
4,5,60,RL,84.0,14260,Pave,None,1,Lvl,AllPub,FR2,1,NoRidge,0,0,1Fam,4,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,1,0,PConc,1,0,2,5,655,0,0,490,1145,GasA,2,1,1,1145,1053,0,2198,1,0,2,1,4,1,1,9,0,1,0,Attchd,2000.0,2,3,836,0,0,Y,192,84,0,0,0,0,-1,None,None,0,12,2008,WD,Normal,250000,3,93.6550459,42.051161
5,6,50,RL,85.0,14115,Pave,None,1,Lvl,AllPub,Inside,1,Mitchel,0,0,1Fam,3,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,Wood,1,0,0,5,732,0,0,64,796,GasA,2,1,1,796,566,0,1362,1,0,1,1,1,1,0,5,0,0,-2,Attchd,1993.0,1,2,480,0,0,Y,40,30,0,320,0,0,-1,MnPrv,Shed,700,10,2009,WD,Normal,143000,-1,93.6048323,41.9923905
6,7,20,RL,75.0,10084,Pave,None,0,Lvl,AllPub,Inside,1,Somerst,0,0,1Fam,1,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,1,0,PConc,2,0,2,5,1369,0,0,317,1686,GasA,2,1,1,1694,0,0,1694,1,0,2,0,3,1,1,7,0,1,1,Attchd,2004.0,2,2,636,0,0,Y,255,57,0,0,0,0,-1,None,None,0,8,2007,WD,Normal,307000,4,93.6435389,42.0489287
7,8,60,RL,,10382,Pave,None,1,Lvl,AllPub,Corner,1,NWAmes,1,0,1Fam,4,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,0,0,CBlock,1,0,1,4,859,3,32,216,1107,GasA,2,1,1,1107,983,0,2090,1,0,2,1,3,1,0,7,0,2,0,Attchd,1973.0,2,2,484,0,0,Y,235,204,228,0,0,0,-1,None,Shed,350,11,2009,WD,Normal,200000,1,93.6668704,42.0561644
8,9,50,RM,51.0,6120,Pave,None,0,Lvl,AllPub,Inside,1,OldTown,-2,0,1Fam,3,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,0,0,BrkTil,0,0,0,0,0,0,0,952,952,GasA,1,1,-1,1022,752,0,1774,0,0,2,0,2,2,0,8,-1,2,0,Detchd,1931.0,1,2,468,-1,0,Y,90,0,205,0,0,0,-1,None,None,0,4,2008,WD,Abnorml,129900,-1,93.6158599,42.0315288
9,10,190,RL,50.0,7420,Pave,None,0,Lvl,AllPub,Corner,1,BrkSide,-2,-2,2fmCon,2,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,BrkTil,0,0,0,5,851,0,0,140,991,GasA,2,1,1,1077,0,0,1077,1,0,1,0,2,2,0,5,0,2,0,Attchd,1939.0,2,1,205,1,0,Y,0,4,0,0,0,0,-1,None,None,0,1,2008,WD,Normal,118000,2,93.6276074,42.0322741
10,11,20,RL,70.0,11200,Pave,None,0,Lvl,AllPub,Inside,1,Sawyer,0,0,1Fam,1,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,0,2,906,0,0,134,1040,GasA,2,1,1,1040,0,0,1040,1,0,1,0,3,1,0,5,0,0,-2,Detchd,1965.0,1,1,384,0,0,Y,0,0,0,0,0,0,-1,None,None,0,2,2008,WD,Normal,129500,-1,93.6196433,42.0262182
11,12,60,RL,85.0,11924,Pave,None,1,Lvl,AllPub,Inside,1,NridgHt,0,0,1Fam,4,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,2,0,PConc,2,0,0,5,998,0,0,177,1175,GasA,2,1,1,1182,1142,0,2324,1,0,3,0,4,1,2,11,0,2,1,BuiltIn,2005.0,3,3,736,0,0,Y,147,21,0,0,0,0,-1,None,None,0,7,2006,New,Partial,345000,6,93.6521432,42.0593971
12,13,20,RL,,12968,Pave,None,2,Lvl,AllPub,Inside,1,Sawyer,0,0,1Fam,1,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,0,0,CBlock,0,0,0,4,737,0,0,175,912,GasA,0,1,1,912,0,0,912,1,0,1,0,2,1,0,4,0,0,-2,Detchd,1962.0,1,1,352,0,0,Y,140,0,0,0,176,0,-1,None,None,0,9,2008,WD,Normal,144000,-3,93.6196433,42.0262182
13,14,20,RL,91.0,10652,Pave,None,1,Lvl,AllPub,Inside,1,CollgCr,0,0,1Fam,1,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,1,0,PConc,1,0,2,0,0,0,0,1494,1494,GasA,2,1,1,1494,0,0,1494,0,0,2,0,3,1,1,7,0,1,1,Attchd,2006.0,2,3,840,0,0,Y,160,33,0,0,0,0,-1,None,None,0,8,2007,New,Partial,279500,4,93.6629245,42.0210558
14,15,20,RL,,10920,Pave,None,1,Lvl,AllPub,Corner,1,NAmes,0,0,1Fam,1,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,0,0,CBlock,0,0,0,3,733,0,0,520,1253,GasA,0,1,1,1253,0,0,1253,1,0,1,1,2,1,0,5,0,1,-1,Attchd,1960.0,2,1,352,0,0,Y,0,213,176,0,0,0,-1,GdWo,None,0,5,2008,WD,Normal,157000,-2,,
15,16,45,RM,51.0,6120,Pave,None,0,Lvl,AllPub,Corner,1,BrkSide,0,0,1Fam,2,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,BrkTil,0,0,0,0,0,0,0,832,832,GasA,2,1,0,854,0,0,854,0,0,1,0,2,1,0,5,0,0,-2,Detchd,1991.0,1,2,576,0,0,Y,48,112,0,0,0,0,-1,GdPrv,None,0,7,2007,WD,Normal,132000,-1,93.6276074,42.0322741
16,17,20,RL,,11241,Pave,None,1,Lvl,AllPub,CulDSac,1,NAmes,0,0,1Fam,1,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,0,0,CBlock,0,0,0,4,578,0,0,426,1004,GasA,2,1,1,1004,0,0,1004,1,0,1,0,2,1,0,5,0,1,0,Attchd,1970.0,3,2,480,0,0,Y,0,0,0,0,0,0,-1,None,Shed,700,3,2010,WD,Normal,149000,1,,
17,18,90,RL,72.0,10791,Pave,None,0,Lvl,AllPub,Inside,1,Sawyer,0,0,Duplex,1,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,Slab,-1,0,-1,0,0,0,0,0,0,GasA,0,1,1,1296,0,0,1296,0,0,2,0,2,2,0,6,0,0,-2,CarPort,1967.0,1,2,516,0,0,Y,0,0,0,0,0,0,-1,None,Shed,500,10,2006,WD,Normal,90000,-3,93.6196433,42.0262182
18,19,20,RL,66.0,13695,Pave,None,0,Lvl,AllPub,Inside,1,SawyerW,-2,0,1Fam,1,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,0,0,0,5,646,0,0,468,1114,GasA,2,1,1,1114,0,0,1114,1,0,1,1,3,1,1,6,0,0,-2,Detchd,2004.0,1,2,576,0,0,Y,0,102,0,0,0,0,-1,None,None,0,6,2008,WD,Normal,159000,0,93.6196433,42.0262182
19,20,20,RL,70.0,7560,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,0,0,CBlock,0,0,0,1,504,0,0,525,1029,GasA,0,1,1,1339,0,0,1339,0,0,1,0,3,1,0,6,-1,0,-2,Attchd,1958.0,1,1,294,0,0,Y,0,0,0,0,0,0,-1,MnPrv,None,0,5,2009,COD,Abnorml,139000,-3,,
20,21,60,RL,101.0,14215,Pave,None,1,Lvl,AllPub,Corner,1,NridgHt,0,0,1Fam,4,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,1,0,PConc,2,0,2,0,0,0,0,1158,1158,GasA,2,1,1,1158,1218,0,2376,0,0,3,1,4,1,1,9,0,1,1,BuiltIn,2005.0,2,3,853,0,0,Y,240,154,0,0,0,0,-1,None,None,0,11,2006,New,Partial,325300,4,93.6521432,42.0593971
