,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Tot_qual_cond,degrees_west,degrees_north,SalePrice,nhood_median_price,living_SF,liv_plus_grg_SF,total_indoor_SF,qXGrLivArea,qXliving_SF,qXliv_plus_grg_SF,qXtotal_indoor_SF,degNXqXindoorSF,nhoodXqXindoorSF,nhoodXsize,nhoodXqual
0,1,60,RL,65.0,8450,Pave,None,0,Lvl,AllPub,Inside,1,CollgCr,0,0,1Fam,4,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,1,0,PConc,1,0,0,5,706,0,0,150,856,GasA,2,1,1,856,854,0,1710,1,0,2,1,3,1,1,8,0,0,-2,Attchd,2003.0,2,2,548,0,0,Y,0,61,0,0,0,0,-1,None,None,0,2,2008,WD,Normal,1,93.6629245,42.0210558,208500,197200.0,2416,2964,3114,1717,16912,20748,21798,915974.9743284,4298565600.0,614080800.0,1380400.0
1,2,20,RL,80.0,9600,Pave,None,0,Lvl,AllPub,FR2,1,Veenker,-2,0,1Fam,1,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,CBlock,1,0,1,4,978,0,0,284,1262,GasA,2,1,1,1262,0,0,1262,0,1,2,0,3,1,0,6,0,1,0,Attchd,1976.0,2,2,460,0,0,Y,298,0,0,0,0,0,-1,None,None,0,5,2007,WD,Normal,1,93.6515453,42.0383826,181500,218000.0,2240,2700,2984,1268,13440,16200,17904,752655.2020704,3903072000.0,650512000.0,1308000.0
2,3,60,RL,68.0,11250,Pave,None,1,Lvl,AllPub,Inside,1,CollgCr,0,0,1Fam,4,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,1,0,PConc,1,0,1,5,486,0,0,434,920,GasA,2,1,1,920,866,0,1786,1,0,2,1,3,1,1,6,0,1,0,Attchd,2001.0,2,2,608,0,0,Y,0,42,0,0,0,0,-1,None,None,0,9,2008,WD,Normal,3,93.6629245,42.0210558,223500,197200.0,2272,2880,3314,1793,15904,20160,23198,974804.4524484,4574645600.0,653520800.0,1380400.0
3,4,70,RL,60.0,9550,Pave,None,1,Lvl,AllPub,Corner,1,Crawfor,0,0,1Fam,4,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,0,0,BrkTil,0,1,0,4,216,0,0,540,756,GasA,1,1,1,961,756,0,1717,1,0,1,0,3,1,1,7,0,1,1,Detchd,1998.0,1,3,642,0,0,Y,0,35,272,0,0,0,-1,None,None,0,2,2006,WD,Abnorml,3,93.6196433,42.0262182,140000,200624.0,1933,2575,3115,1724,13531,18025,21805,916381.687851,4374606320.0,624943760.0,1404368.0
4,5,60,RL,84.0,14260,Pave,None,1,Lvl,AllPub,FR2,1,NoRidge,0,0,1Fam,4,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,1,0,PConc,1,0,2,5,655,0,0,490,1145,GasA,2,1,1,1145,1053,0,2198,1,0,2,1,4,1,1,9,0,1,0,Attchd,2000.0,2,3,836,0,0,Y,192,84,0,0,0,0,-1,None,None,0,12,2008,WD,Normal,3,93.6550459,42.051161,250000,301500.0,2853,3689,4179,2206,22824,29512,33432,1405854.4145520001,10079748000.0,1259968500.0,2412000.0
5,6,50,RL,85.0,14115,Pave,None,1,Lvl,AllPub,Inside,1,Mitchel,0,0,1Fam,3,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,Wood,1,0,0,5,732,0,0,64,796,GasA,2,1,1,796,566,0,1362,1,0,1,1,1,1,0,5,0,0,-2,Attchd,1993.0,1,2,480,0,0,Y,40,30,0,320,0,0,-1,MnPrv,Shed,700,10,2009,WD,Normal,-1,93.6048323,41.9923905,143000,153500.0,2094,2574,2638,1367,10470,12870,13190,553879.6306949999,2024665000.0,404933000.0,767500.0
6,7,20,RL,75.0,10084,Pave,None,0,Lvl,AllPub,Inside,1,Somerst,0,0,1Fam,1,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,1,0,PConc,2,0,2,5,1369,0,0,317,1686,GasA,2,1,1,1694,0,0,1694,1,0,2,0,3,1,1,7,0,1,1,Attchd,2004.0,2,2,636,0,0,Y,255,57,0,0,0,0,-1,None,None,0,8,2007,WD,Normal,4,93.6435389,42.0489287,307000,225500.0,3063,3699,4016,1702,24504,29592,32128,1350947.9812736,7244864000.0,905608000.0,1804000.0
7,8,60,RL,,10382,Pave,None,1,Lvl,AllPub,Corner,1,NWAmes,1,0,1Fam,4,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,0,0,CBlock,1,0,1,4,859,3,32,216,1107,GasA,2,1,1,1107,983,0,2090,1,0,2,1,3,1,0,7,0,2,0,Attchd,1973.0,2,2,484,0,0,Y,235,204,228,0,0,0,-1,None,Shed,350,11,2009,WD,Normal,1,93.6668704,42.0561644,200000,182900.0,2949,3433,3681,2097,20643,24031,25767,1083661.1880948,4712784300.0,673254900.0,1280300.0
8,9,50,RM,51.0,6120,Pave,None,0,Lvl,AllPub,Inside,1,OldTown,-2,0,1Fam,3,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,0,0,BrkTil,0,0,0,0,0,0,0,952,952,GasA,1,1,-1,1022,752,0,1774,0,0,2,0,2,2,0,8,-1,2,0,Detchd,1931.0,1,2,468,-1,0,Y,90,0,205,0,0,0,-1,None,None,0,4,2008,WD,Abnorml,-1,93.6158599,42.0315288,129900,119000.0,1774,2242,3194,1781,12418,15694,22358,939740.9209103999,2660602000.0,380086000.0,833000.0
9,10,190,RL,50.0,7420,Pave,None,0,Lvl,AllPub,Corner,1,BrkSide,-2,-2,2fmCon,2,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,BrkTil,0,0,0,5,851,0,0,140,991,GasA,2,1,1,1077,0,0,1077,1,0,1,0,2,2,0,5,0,2,0,Attchd,1939.0,2,1,205,1,0,Y,0,4,0,0,0,0,-1,None,None,0,1,2008,WD,Normal,2,93.6276074,42.0322741,118000,124300.0,1928,2133,2273,1082,9640,10665,11365,477696.79514650005,1412669500.0,282533900.0,621500.0
